"File","XsltVersion","ScriptBlocks","UsesMsxslOrNodeSet","ScriptFunctionCalls","HasThreadSleep","HasGuidNewGuid","HasStaticState","MigrationRisk"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Vamix\ZFL_EFACT_D16B_INVRPT_To_Vandemoortele_SND_CARRIERSTATCHNGE.xslt","1.0","1","True","MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Vamix\ZFL_EFACT_D16B_INVRPT_To_Vandemoortele_SND_RECEIPT_RETURNS.xslt","1.0","1","True","MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Vamix\ZFL_EFACT_D16B_INVRPT_To_Vandemoortele_SND_STOCKADJUSTMENT.xslt","1.0","1","True","MyScript:Abs; MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate; MyScript:ToUpper","False","True","False","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Vamix\ZFL_EFACT_D16B_INVRPT_To_Vandemoortele_SND_STOCKSTATUS.xslt","1.0","1","True","MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Vamix\ZFL_EFACT_D16B_RECADV_To_Vandemoortele_SND_RECEIPT.xslt","1.0","1","True","MyScript:GetLinCounter; MyScript:GetNRCounter; MyScript:GetNRCounter2; MyScript:GetNRCounter3; MyScript:ParseDate","False","True","True","High"
"C:\Repos\ELEVATE\xslt\059 - IDP\AAK\AAK_EFACT_D96A_DESADV_To_IDP_RCV_RECEIPT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\059 - IDP\AAK\AAK_EFACT_D96B_PRODAT_To_IDP_RCV_MMD.xslt","1.0","1","True","MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\059 - IDP\AAK\AAK_EFACT_D98A_INSDES_To_IDP_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\059 - IDP\AAK\IDP_SND-RECEIPT_To_AAK_EFACT_D96A_INVRPT.xslt","1.0","1","True","MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\059 - IDP\AAK\IDP_SND-SHIPMENT_To_AAK_EFACT_D93A_DESADV.xslt","1.0","1","True","MyScript:GetNRCounter; MyScript:GetNRCounter2; MyScript:GetNRCounter3; MyScript:ParseDate; MyScript:ToUpper","False","True","True","High"
"C:\Repos\ELEVATE\xslt\059 - IDP\Wonderful Brands\IDP_SND-SHIPMENT_To_WBE_EFACT_D96A_DESADV.xslt","1.0","1","True","MyScript:GetNRCounter; MyScript:GetNRCounter2; MyScript:GetNRCounter3; MyScript:ParseDate; MyScript:ToUpper","False","True","True","High"
"C:\Repos\ELEVATE\xslt\059 - IDP\Wonderful Brands\IDP_SND-SHIPMENT_To_WBE_XLS.xslt","1.0","1","True","MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\059 - IDP\Wonderful Brands\IDP_SND-STOCKSTATUS_To_WBE_XLS.xslt","1.0","1","True","MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\059 - IDP\Wonderful Brands\IDP_SND-WHSEACTLINES_To_WBE_XLS.xslt","1.0","1","True","MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\059 - IDP\Wonderful Brands\WBE_EFACT_D01B_ORDERS_Split.xslt","1.0","1","True","MyScript:BuildEDIFACT; MyScript:BuildMessage; MyScript:ClearMessage; MyScript:GetEDIFACT; MyScript:GetLastSplitEntry; MyScript:GetSplitEntry; MyScript:GetSplitsLength; MyScript:SetUNZSegment; MyScript:SplitEDIFACT; MyScript:WriteMessage","False","False","False","High"
"C:\Repos\ELEVATE\xslt\059 - IDP\Wonderful Brands\WBE_EFACT_D01B_ORDERS_To_IDP_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\141 - Frigologix\Val de meuse\FrigoVDM_EFACT_D96A_DESADV_To_McCain_SND_SHIPMENT.xslt","1.0","1","True","MyScript:GetCPSCounter; MyScript:GetPalletExchange; MyScript:ParseDate; MyScript:ResetPackageQty; MyScript:SetPackageQty","False","True","True","High"
"C:\Repos\ELEVATE\xslt\141 - Frigologix\Val de meuse\FrigoVDM_EFACT_D96A_INVRPT_To_McCain_SND_CARRSTATCHNGE.xslt","1.0","1","True","MyScript:Abs; MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\141 - Frigologix\Val de meuse\FrigoVDM_EFACT_D96A_INVRPT_To_McCain_SND_STOCKADJUSTMENT.xslt","1.0","1","True","MyScript:Abs; MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\141 - Frigologix\Val de meuse\FrigoVDM_EFACT_D96A_INVRPT_To_McCain_SND_STOCKSTATUS.xslt","1.0","1","True","MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\141 - Frigologix\Val de meuse\FrigoVDM_EFACT_D96A_RECADV_To_McCain_SND_RECEIPT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\141 - Frigologix\Val de meuse\McCAIN_EFACT_D96A_DESADV_To_FrigoVDM_RCV_RECEIPT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\141 - Frigologix\Val de meuse\McCAIN_EFACT_D96A_HANMOV_To_FrigoVDM_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\145 - GDL\Customs BE\rcv-emcs-BE.xslt","1.0","1","True","","False","True","False","High"
"C:\Repos\ELEVATE\xslt\145 - GDL\Jet Import\JETI_EFACT_D96A_RECADV_To_GDL_SND_RECEIPT.xslt","1.0","1","True","MyScript:GetCPSCounter; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\145 - GDL\Jet Import\JETl_EFACT_D01B_DESADV_To_GDL_SND_SHIPMENT.xslt","1.0","1","True","MyScript:GetCPSCounter; MyScript:GetLinCounter; MyScript:ParseDate","False","True","True","High"
"C:\Repos\ELEVATE\xslt\145 - GDL\Jet Import\JETl_EFACT_D01B_INSDES_To_GDL_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\153 - De Rocker\Cargill\Cargill_EFACT_D01B_DESADV_To_De-Rocker-logistics_RCV_RECEIPT.xslt","1.0","1","True","MyScript:GetCurrentDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\153 - De Rocker\Cargill\Cargill_EFACT_D01B_INSDES_To_De-Rocker-logistics_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:GetGUID; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\153 - De Rocker\Cargill\De-Rocker-logistics_SND_RECEIPT_To_EFACT_D01B_RECADV.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\153 - De Rocker\La William\DeRockerLogistics_SND-SHIPMENT_To_LaWilliam_XLS.xslt","1.0","1","True","MyScript:GetRowNr; MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\153 - De Rocker\La William\LaWilliam_OUTBOUNDORDER_To_DeRockerLogistics_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:GetGUID; MyScript:ParseDate; MyScript:TrimEnd","False","True","False","High"
"C:\Repos\ELEVATE\xslt\153 - De Rocker\Libeert\ZFL.XSLT","1.0","1","True","MyScript:GetLinCounter; MyScript:GetNRCounter; MyScript:GetNRCounter2; MyScript:GetNRCounter3; MyScript:ParseDate; MyScript:RemoveDiacritics; MyScript:ToUpper; MyScript:TrimEnd","False","True","True","High"
